26AA	22-24 in	22-26 in	56-61 cm	56-66 cm
28AA	24-26 in	24-28 in	61-66 cm	61-71 cm
30AA	26-28 in	26-30 in	66-71 cm	66-76 cm
32AA	28-30 in	28-32 in	71-76 cm	71-81 cm
34AA	30-32 in	30-34 in	76-81 cm	76-86 cm
36AA	32-34 in	32-36 in	81-86 cm	81-91 cm
38AA	34-36 in	34-38 in	86-91 cm	86-97 cm
40AA	36-38 in	36-40 in	91-97 cm	91-102 cm
42AA	38-40 in	38-42 in	97-102 cm	97-107 cm
44AA	40-42 in	40-44 in	102-107 cm	102-112 cm
46AA	42-44 in	42-46 in	107-112 cm	107-117 cm
48AA	44-46 in	44-48 in	112-117 cm	112-122 cm
50AA	46-48 in	46-50 in	117-122 cm	117-127 cm
52AA	48-50 in	48-52 in	122-127 cm	122-132 cm
54AA	50-52 in	50-54 in	127-132 cm	127-137 cm
56AA	52-54 in	52-56 in	132-137 cm	132-142 cm
58AA	54-56 in	54-58 in	137-142 cm	137-147 cm
60AA	56-58 in	56-60 in	142-147 cm	142-152 cm
62AA	58-60 in	58-62 in	147-152 cm	147-157 cm
64AA	60-62 in	60-64 in	152-157 cm	152-163 cm
26A	22-24 in	26-27 in	56-61 cm	66-69 cm
28A	24-26 in	28-29 in	61-66 cm	71-74 cm
30A	26-28 in	30-31 in	66-71 cm	76-79 cm
32A	28-30 in	32-33 in	71-76 cm	81-84 cm
34A	30-32 in	34-35 in	76-81 cm	86-89 cm
36A	32-34 in	36-37 in	81-86 cm	91-94 cm
38A	34-36 in	38-39 in	86-91 cm	97-99 cm
40A	36-38 in	40-41 in	91-97 cm	102-104 cm
42A	38-40 in	42-43 in	97-102 cm	107-109 cm
44A	40-42 in	44-45 in	102-107 cm	112-114 cm
46A	42-44 in	46-47 in	107-112 cm	117-119 cm
48A	44-46 in	48-49 in	112-117 cm	122-124 cm
50A	46-48 in	50-51 in	117-122 cm	127-130 cm
52A	48-50 in	52-53 in	122-127 cm	132-135 cm
54A	50-52 in	54-55 in	127-132 cm	137-140 cm
56A	52-54 in	56-57 in	132-137 cm	142-145 cm
58A	54-56 in	58-59 in	137-142 cm	147-150 cm
60A	56-58 in	60-61 in	142-147 cm	152-155 cm
62A	58-60 in	62-63 in	147-152 cm	157-160 cm
64A	60-62 in	64-65 in	152-157 cm	163-165 cm
26B	22-24 in	27-28 in	56-61 cm	69-71 cm
28B	24-26 in	29-30 in	61-66 cm	74-76 cm
30B	26-28 in	31-32 in	66-71 cm	79-81 cm
32B	28-30 in	33-34 in	71-76 cm	84-86 cm
34B	30-32 in	35-36 in	76-81 cm	89-91 cm
36B	32-34 in	37-38 in	81-86 cm	94-97 cm
38B	34-36 in	39-40 in	86-91 cm	99-102 cm
40B	36-38 in	41-42 in	91-97 cm	104-107 cm
42B	38-40 in	43-44 in	97-102 cm	109-112 cm
44B	40-42 in	45-46 in	102-107 cm	114-117 cm
